name,dis,freq,fga,eFG
Kentavious Caldwell-Pope,0-2 Feet,0.159,155,0.394
Kentavious Caldwell-Pope,2-4 Feet,0.322,313,0.431
Kentavious Caldwell-Pope,4-6 Feet,0.329,320,0.502
Kentavious Caldwell-Pope,6+ Feet,0.189,184,0.598
Thaddeus Young,0-2 Feet,0.286,271,0.483
Thaddeus Young,2-4 Feet,0.38,361,0.521
Thaddeus Young,4-6 Feet,0.188,178,0.452
Thaddeus Young,6+ Feet,0.146,139,0.468
Jeff Green,0-2 Feet,0.264,254,0.429
Jeff Green,2-4 Feet,0.315,303,0.505
Jeff Green,4-6 Feet,0.217,209,0.433
Jeff Green,6+ Feet,0.205,197,0.556
Al Horford,0-2 Feet,0.136,130,0.431
Al Horford,2-4 Feet,0.313,300,0.637
Al Horford,4-6 Feet,0.237,227,0.491
Al Horford,6+ Feet,0.314,301,0.542
Andre Drummond,0-2 Feet,0.37,351,0.425
Andre Drummond,2-4 Feet,0.499,474,0.54
Andre Drummond,4-6 Feet,0.095,90,0.689
Andre Drummond,6+ Feet,0.036,34,0.706
Kevin Love,0-2 Feet,0.158,148,0.432
Kevin Love,2-4 Feet,0.307,288,0.49
Kevin Love,4-6 Feet,0.295,277,0.516
Kevin Love,6+ Feet,0.24,225,0.58
Tobias Harris,0-2 Feet,0.253,238,0.46
Tobias Harris,2-4 Feet,0.347,326,0.506
Tobias Harris,4-6 Feet,0.222,209,0.545
Tobias Harris,6+ Feet,0.178,167,0.563
Dion Waiters,0-2 Feet,0.157,147,0.374
Dion Waiters,2-4 Feet,0.343,321,0.422
Dion Waiters,4-6 Feet,0.361,338,0.451
Dion Waiters,6+ Feet,0.138,129,0.488
JJ Redick,0-2 Feet,0.058,54,0.463
JJ Redick,2-4 Feet,0.328,306,0.489
JJ Redick,4-6 Feet,0.38,355,0.627
JJ Redick,6+ Feet,0.234,218,0.681
Zach Randolph,0-2 Feet,0.349,325,0.542
Zach Randolph,2-4 Feet,0.347,323,0.485
Zach Randolph,4-6 Feet,0.232,216,0.463
Zach Randolph,6+ Feet,0.072,67,0.373
Paul Millsap,0-2 Feet,0.22,203,0.438
Paul Millsap,2-4 Feet,0.374,344,0.542
Paul Millsap,4-6 Feet,0.211,194,0.508
Paul Millsap,6+ Feet,0.195,180,0.567
Enes Kanter,0-2 Feet,0.311,286,0.51
Enes Kanter,2-4 Feet,0.368,338,0.608
Enes Kanter,4-6 Feet,0.168,154,0.487
Enes Kanter,6+ Feet,0.153,141,0.436
